Common name,Species,Reference,Label,Mass (g),Wing loading (N/m^2),Chord length (cm),SVL snake (cm)
flying snake (average),Chrysopelea paradisi,Socha et al. (2005),Snake,40.5,29,2.2,66.2470588235294
flying snake,Chrysopelea paradisi,Socha et al. (2005),Snake,26.1,23.2,1.8,61.5
flying snake,Chrysopelea paradisi,Socha et al. (2005),Snake,62.9,30.7,2.4,83.3
flying snake,Chrysopelea paradisi,Socha et al. (2005),Snake,76.3,36.8,2.5,86.5
flying snake,Chrysopelea paradisi,Socha et al. (2005),Snake,10.5,18.2,1.4,47
flying snake,Chrysopelea paradisi,Socha & LaBarbara (2005),Snake,37.5,28.6,2.0,69.3
flying snake,Chrysopelea paradisi,Socha et al. (2005),Snake,35.9,31.1,2.0,68.5
flying snake,Chrysopelea paradisi,Socha et al. (2005),Snake,27.4,27.2,1.8,62.8
flying snake,Chrysopelea paradisi,Socha & LaBarbara (2005),Snake,30.8,27.9,1.9,66
flying snake,Chrysopelea paradisi,Socha & LaBarbara (2005),Snake,14.6,18.3,1.5,52.5
flying snake,Chrysopelea paradisi,Socha et al. (2005),Snake,27.4,28.5,1.8,63.5
flying snake,Chrysopelea paradisi,Socha et al. (2005),Snake,3.0,11.9,0.9,31
flying snake,Chrysopelea paradisi,Socha et al. (2005),Snake,82.7,45.9,2.5,85.3
flying snake,Chrysopelea paradisi,Socha & LaBarbara (2005),Snake,16.3,22.6,1.6,54.2
flying snake,Chrysopelea paradisi,Socha & LaBarbara (2005),Snake,68.2,36.6,2.4,81.8
flying snake,Chrysopelea paradisi,Socha et al. (2005),Snake,52.3,33.3,2.2,77.5
flying snake,Chrysopelea paradisi,Socha & LaBarbara (2005),Snake,22.5,23.8,1.7,60.5
flying snake,Chrysopelea paradisi,Socha et al. (2005),Snake,40.5,27.9,2.2,75